nestID,wing1,wing2,beeAvg,measDate,initials
NF01,2.8,2.8,2.8,20181018,ES
NF01,2.8,2.8,2.8,20181018,ES
NF01,2.8,2.9,2.85,20181018,ES
NF02,3.2,3.1,3.15,20181018,ES
NF02,3.1,3,3.05,20181018,ES
NF02,2.8,2.8,2.8,20181018,ES
NF04,3,3,3,20181018,ES
NF05,3,2.9,2.95,20181018,ES
NF05,2.9,3,2.95,20181018,ES
NF05,2.7,2.6,2.65,20181018,ES
NF05,2.8,2.8,2.8,20181018,ES
NF05,2.4,2.4,2.4,20181018,ES
NF05,3.1,3.1,3.1,20181018,ES
NF06,3,3,3,20181018,ES
NF07,3,3,3,20181018,ES
NF07,3,3.1,3.05,20181018,ES
NF07,3,3.1,3.05,20181018,ES
NF10,3,3,3,20181018,ES
NF10,2.6,2.8,2.7,20181018,ES
NF10,2.8,2.9,2.85,20181018,ES
NT02,2.7,2.8,2.75,20181018,ES
NT02,2.9,2.8,2.85,20181018,ES
NT02,2.9,2.9,2.9,20181018,ES
NT03,2.9,2.8,2.85,20181018,ES
NT04,2.9,2.9,2.9,20181018,ES
NT05,2.8,2.7,2.75,20181018,ES
NT05,2.7,2.7,2.7,20181018,ES
NT06,2.4,2.4,2.4,20181018,ES
NT06,2.3,2.2,2.25,20181018,ES
NT07,2.6,2.6,2.6,20181018,ES
NT07,3.1,3.1,3.1,20181018,ES
NT08,2.9,2.9,2.9,20181018,ES
NT08,2.9,2.9,2.9,20181018,ES
NT10,3.1,3.1,3.1,20181018,ES
NT10,2.9,2.7,2.8,20181018,ES
NT10,2.9,2.9,2.9,20181018,ES
NT10,3.1,3,3.05,20181018,ES
QA01,2.8,2.9,2.85,20181018,ES
QA02,3.1,3.1,3.1,20181018,ES
QA03,2.9,2.9,2.9,20181018,ES
QA04,2.9,2.9,2.9,20181018,ES
QA04,2.7,2.7,2.7,20181018,ES
QA05,2.8,2.9,2.85,20181018,ES
QA05,2.7,2.7,2.7,20181018,ES
QA06,2.8,2.7,2.75,20181018,ES
QA07,2.8,2.8,2.8,20181018,ES
QA09,2.8,2.8,2.8,20181018,ES
QA09,2.6,2.6,2.6,20181018,ES
QA10,2.8,2.7,2.75,20181018,ES
QA10,2.8,2.7,2.75,20181018,ES
QA10,2.6,2.6,2.6,20181018,ES
QA10,2.8,2.9,2.85,20181018,ES
QF01,2.8,2.8,2.8,20181018,ES
QF02,2.8,2.7,2.75,20181018,ES
QF03,3,3,3,20181018,ES
QF04,2.8,2.9,2.85,20181018,ES
QF06,2.5,2.5,2.5,20181018,ES
QF06,2.6,2.7,2.65,20181018,ES
QF06,3,2.6,2.8,20181018,ES
QF06,2.6,2.6,2.6,20181018,ES
QF06,2.6,2.6,2.6,20181018,ES
QF06,2.9,2.9,2.9,20181018,ES
QF07,2.9,3.1,3,20181018,ES
QF07,3,2.9,2.95,20181018,ES
QF08,2.8,2.8,2.8,20181018,ES
QF08,3,3,3,20181018,ES
QF09,3.1,3.2,3.15,20181018,ES
QF10,3,3,3,20181018,ES
QF10,3,3.1,3.05,20181018,ES
QT01,2.3,2.3,2.3,20181018,ES
QT02,3.1,3.1,3.1,20181018,ES
QT02,3.2,3.1,3.15,20181018,ES
QT02,3.2,3.2,3.2,20181018,ES
QT02,2.9,2.9,2.9,20181018,ES
QT03,3,3.1,3.05,20181018,ES
QT04,2.7,2.7,2.7,20181018,ES
QT07,2.8,2.8,2.8,20181018,ES
QT07,2.5,2.6,2.55,20181018,ES
QT08,2.9,2.9,2.9,20181018,ES
QT08,3,3,3,20181018,ES
QT08,3,3,3,20181018,ES
QT08,2.9,2.9,2.9,20181018,ES
QT08,3.1,3.1,3.1,20181018,ES
QT08,2.9,3,2.95,20181018,ES
QT08,3.1,3,3.05,20181018,ES
QA11,2.85,2.95,2.9,20190114,ES
QT11,3.1,3.15,3.125,20190114,ES
QT11,2.7,2.6,2.65,20190114,ES
QF11,3,3.05,3.025,20190114,ES
QF11,2.4,2.35,2.375,20190114,ES
NT11,2.65,2.7,2.675,20190114,ES
NF11,2.7,2.7,2.7,20190114,ES
NF11,2.7,2.75,2.725,20190114,ES
QA12,2.45,2.4,2.425,20190114,ES
QT12,2.9,2.85,2.875,20190114,ES
QT12,2.8,2.8,2.8,20190114,ES
QF12,2.85,2.85,2.85,20190114,ES
QF12,3.1,3.05,3.075,20190114,ES
QF12,3.1,3.05,3.075,20190114,ES
NT12,2.8,2.85,2.825,20190114,ES
NT12,3,3,3,20190114,ES
QT13,2.9,2.9,2.9,20190114,ES
QT13,2.7,NA,2.7,20190114,ES
NT13,2.7,NA,2.7,20190114,ES
QT14,2.9,NA,2.9,20190114,ES
QF14,2.8,2.8,2.8,20190114,ES
QF14,2.7,2.7,2.7,20190114,ES
NT14,2.85,2.8,2.825,20190114,ES
QF15,2.85,2.8,2.825,20190114,ES
NT15,3.1,3.1,3.1,20190114,ES
QF16,2.85,2.9,2.875,20190114,ES
NT16,3.1,3.1,3.1,20190114,ES