COLONY,Q Natal,Q Pulled,QID,Gas1,Gas2,WNatal,W Pulled,WID,WID,WID,WID,WID,WIDr,WIDr,Eggs,DaysToEggs,Larvae/Foraging,Frozen,EggsToEclosion,total time start to finish,Video1,Video2,Notes,Boris File Made
QA06,KE1,7.16.18,16,7.28.18,7.29.18,,,,,,,,,,8.13.18,15,8.17.18,09.05.18,23,38,,,,
QA07,KE1,7.16.18,77,7.28.18,7.29.18,,,,,,,,,,8.15.18,17,8.21.18,09.11.18,27,44,,,,
QA08,KE3,7.16.18,88,7.28.18,7.29.18,,,,,,,,,,8.7.18,9,8.11.18,died prior to freezing,,9,,,,
QA09,KE1,7.16.18,99,7.28.18,7.29.18,,,,,,,,,,8.6.18,7,8.10.18,09.02.18,27,34,,,,
QA10,KE1,7.16.18,70,7.28.18,7.29.18,,,,,,,,,,8.13.18,15,8.17.18,09.10.18,28,43,,,"we thought she died 8/7, but she was alive with eggs & hp 8/13",
QT06,KE3,7.23.18,37,8.4.18,8.5.18,AS2,8.5.18,51,98,84,,,,,8.7.18,2,8.11.18,,,2,,,all workers dead. 8.6.18 18:00 queen lays first eggs,
QT07,KE1,7.24.18,9,8.5.18,8.6.18,VB03,8.6.18,15,34,61,,,,,8.14.18,9,8.18.18,09.11.18,27,36,,,queen died,
QT08,KE1,7.16.18,78,7.28.18,7.29.18,VB01,Â cal,22,57,19,,,,,8.3.18,5,8.7.18,08.31.18,28,33,,,,
QT09,,,,,,,,,,,,,,,,,,,,0,,,,
QT10,KE3,7.19.18,20,7.31.18,8.1.18,AS2,8.1.18,41,53,97,,,,,8.7.18,,8.11.18,died ,,0,,,,
QF06,KE1,7.16.18,66,7.28.18,7.29.18,VB01,7.29.18,6,80,35,47,12,,,8.3.18,5,8.7.18,09.02.18,30,35,,,,
QF07,KE1,7.16.18,57,7.28.18,7.29.18,VB01,7.29.18,23,36,18,60,72,,,8.6.18,8,8.10.18,08.31.18,25,33,,,,
QF08,KE1,7.16.18,48,7.28.18,7.29.18,VB01,7.29.18,15,24,73,36,52,,,8.4.18,6,8.8.18,09.03.18,30,36,,,only four live workers,
QF09,KE3,7.18.23,90,7.30.18,7.31.18,VB02,7.31.18,41,17,51,31,11,22,,8.3.18,3,8.7.18,09.12.18,40,43,,,8.2.18 16:00 queen lays first eggs,
QF10,KE3,7.23.18,6,8.4.18,8.5.18,AS3,8.5.18,71,90,86,54,74,,,8.8.18,3,8.12.18,09.12.18,35,38,,,8.7.18 16:00 queen lays first eggs,
NT06,,,,,,VB01,7.30.18,13,67,38,,,,,8.8.18,9,8.12.18,09.10.18,33,42,,,,
NT07,,,,,,VB01,7.31.18,68,49,2,,,,,8.7.18,7,8.11.18,09.10.18,34,41,,,only two live workers,
NT08,,,,,,VB03,7.31.18,40,50,55,,,,,,,,,,0,,,,
NT09,,,,,,AS1,,79,39,59,,,,,,,,,,0,,,,
NT10,,,,,,AS1,8.1.18,7,18,45,,,6,,8.10.18,9,8.14.18,09.10.18,31,40,,,#6 added 8/20. **who did she replace? (i think 45 died? def not 18),
NF06,,,,,,VB02,7.31.18,8,10,95,76,61,12,,8.7.18,7,8.11.18,09.03.18,27,34,,,,
NF07,,,,,,AS1,8.1.18,4,13,52,26,70,,,8.8.18,7,8.12.18,09.02.18,25,32,,,,
NF08,,,,,,,,3,90,42,85,73,,,,,,,,0,,,,
NF09,,,,,,AS2,8.1.18,80,71,44,35,62,,,8.9.18,8,8.13.18,all died,,8,,,,
NF10,,,,,,VB02,8.1.18,81,72,63,17,25,,,8.7.18,6,8.11.18,09.07.18,31,37,,,,