"","X","nestID","nestTYPE","beeID","caste","timepoint","feedsbrood","nectarforaging","pollenforaging","egglaying","nBehavs","allforaging"
"1",1,"NF01","NF","35","worker","early",5,0,0,0,5,0
"2",2,"NF01","NF","6","worker","early",2,2,0,0,4,2
"3",3,"NF01","NF","13","worker","early",2,2,0,1,5,2
"4",4,"NF01","NF","82","worker","early",1,2,0,0,3,2
"5",11,"NF04","NF","44","worker","early",0,7,0,0,7,7
"6",12,"NF04","NF","61","worker","early",0,6,2,0,8,8
"7",13,"NF04","NF","74","worker","early",0,0,1,0,1,1
"8",14,"NF05","NF","82","worker","early",4,0,0,0,4,0
"9",15,"NF05","NF","46","worker","early",0,5,0,1,6,5
"10",16,"NF05","NF","45","worker","early",0,1,0,0,1,1
"11",17,"NF06","NF","8","worker","early",1,2,1,0,4,3
"12",18,"NF06","NF","61","worker","early",0,0,7,1,8,7
"13",19,"NF06","NF","95","worker","early",2,0,0,2,4,0
"14",20,"NF07","NF","70","worker","early",2,1,1,1,5,2
"15",21,"NF07","NF","52","worker","early",1,0,0,0,1,0
"16",22,"NF07","NF","13","worker","early",0,2,0,0,3,2
"17",23,"NF07","NF","26","worker","early",0,2,0,0,3,2
"18",25,"NF11","NF","7","worker","early",1,0,0,0,1,0
"19",26,"NF11","NF","49","worker","early",0,0,0,0,1,0
"20",27,"NF11","NF","16","worker","early",1,0,0,0,1,0
"21",28,"NF11","NF","20","worker","early",1,0,0,0,1,0
"22",30,"NT02","NT","5","worker","early",5,0,2,1,8,2
"23",31,"NT02","NT","92","worker","early",5,0,0,2,7,0
"24",32,"NT02","NT","93","worker","early",3,9,7,0,19,16
"25",33,"NT03","NT","33","worker","early",0,24,0,0,24,24
"26",34,"NT03","NT","34","worker","early",2,0,0,1,3,0
"27",35,"NT03","NT","98","worker","early",1,0,0,0,1,0
"28",36,"NT04","NT","70","worker","early",2,2,0,0,4,2
"29",37,"NT04","NT","49","worker","early",2,0,0,0,2,0
"30",38,"NT04","NT","25","worker","early",2,0,0,1,3,0
"31",41,"NT06","NT","38","worker","early",0,5,0,0,10,5
"32",42,"NT06","NT","13","worker","early",3,0,0,1,5,0
"33",43,"NT06","NT","67","worker","early",4,0,0,0,4,0
"34",44,"NT10","NT","18","worker","early",0,6,0,3,10,6
"35",45,"NT10","NT","7","worker","early",1,3,0,0,4,3
"36",46,"NT11","NT","61","worker","early",1,15,0,0,16,15
"37",47,"NT11","NT","35","worker","early",0,14,0,0,15,14
"38",48,"NT11","NT","71","worker","early",1,0,0,3,4,0
"39",50,"NT13","NT","99","worker","early",1,1,0,0,2,1
"40",51,"NT13","NT","56","worker","early",2,0,0,2,4,0
"41",54,"QF02","QF","75","worker","early",0,23,1,0,24,24
"42",55,"QF02","QF","56","worker","early",0,2,0,0,2,2
"43",56,"QF02","QF","13","worker","early",0,5,0,0,5,5
"44",57,"QF03","QF","84","worker","early",1,0,0,0,1,0
"45",58,"QF03","QF","76","worker","early",0,2,0,0,2,2
"46",59,"QF03","QF","11","worker","early",0,6,1,0,8,7
"47",60,"QF03","QF","77","worker","early",0,1,0,0,1,1
"48",61,"QF04","QF","72","worker","early",1,13,27,0,41,40
"49",62,"QF04","QF","81","worker","early",1,0,2,0,3,2
"50",63,"QF04","QF","96","worker","early",1,7,0,0,9,7
"51",64,"QF04","QF","60","worker","early",0,1,0,0,1,1
"52",65,"QF06","QF","80","worker","early",4,0,2,0,7,2
"53",66,"QF06","QF","35","worker","early",0,8,0,0,8,8
"54",67,"QF06","QF","6","worker","early",0,3,0,0,4,3
"55",68,"QF06","QF","12","worker","early",3,0,0,0,4,0
"56",69,"QF07","QF","18","worker","early",0,0,0,1,9,0
"57",70,"QF07","QF","60","worker","early",6,0,0,3,13,0
"58",71,"QF07","QF","72","worker","early",6,0,1,1,14,1
"59",72,"QF07","QF","36","worker","early",0,0,12,0,18,12
"60",73,"QF07","QF","23","worker","early",2,0,0,2,9,0
"61",81,"QF11","QF","65","worker","early",2,13,8,0,23,21
"62",82,"QF11","QF","52","worker","early",0,3,1,0,4,4
"63",83,"QF11","QF","17","worker","early",1,14,0,0,15,14
"64",84,"QF11","QF","9","worker","early",0,1,1,0,2,2
"65",85,"QF12","QF","10","worker","early",4,1,2,0,16,3
"66",86,"QF12","QF","9","worker","early",0,0,0,0,10,0
"67",87,"QF12","QF","72","worker","early",0,5,2,0,12,7
"68",88,"QF12","QF","18","worker","early",0,31,23,0,57,54
"69",89,"QF12","QF","44","worker","early",0,15,34,0,56,49
"70",90,"QF14","QF","87","worker","early",0,1,2,0,3,3
"71",91,"QF14","QF","40","worker","early",2,0,0,0,2,0
"72",92,"QF14","QF","75","worker","early",2,0,0,0,2,0
"73",93,"QF15","QF","8","worker","early",0,1,0,0,1,1
"74",94,"QF15","QF","14","worker","early",0,1,0,0,1,1
"75",95,"QF15","QF","78","worker","early",2,0,0,0,2,0
"76",96,"QF15","QF","37","worker","early",1,1,0,0,2,1
"77",97,"QF16","QF","50","worker","early",3,3,0,0,6,3
"78",98,"QF16","QF","21","worker","early",0,2,0,0,3,2
"79",99,"QF16","QF","74","worker","early",0,3,0,0,3,3
"80",100,"QT01","QT","92","worker","early",0,1,2,0,4,3
"81",101,"QT02","QT","51","worker","early",8,0,1,0,9,1
"82",102,"QT02","QT","11","worker","early",8,0,0,0,8,0
"83",103,"QT02","QT","29","worker","early",1,0,0,0,1,0
"84",104,"QT03","QT","2","worker","early",0,0,0,0,2,0
"85",105,"QT03","QT","39","worker","early",1,2,2,0,5,4
"86",106,"QT03","QT","67","worker","early",1,5,0,0,6,5
"87",109,"QT08","QT","22","worker","early",8,9,0,0,17,9
"88",110,"QT08","QT","19","worker","early",0,1,0,0,1,1
"89",111,"QT11","QT","71","worker","early",1,14,1,0,18,15
"90",112,"QT11","QT","80","worker","early",1,0,0,0,2,0
"91",113,"QT11","QT","55","worker","early",0,1,0,0,1,1
"92",114,"QT12","QT","88","worker","early",1,2,0,0,3,2
"93",115,"QT12","QT","19","worker","early",2,1,0,1,4,1
"94",116,"QT12","QT","77","worker","early",3,0,0,0,3,0
"95",121,"QT15","QT","24","worker","early",3,0,0,0,4,0
"96",122,"QT15","QT","57","worker","early",1,0,0,4,6,0
"97",123,"QT15","QT","66","worker","early",0,8,3,0,12,11
"98",124,"NF01","NF","82","worker","late",10,0,0,0,10,0
"99",125,"NF01","NF","4","worker","late",4,14,2,0,20,16
"100",126,"NF01","NF","13","worker","late",2,0,0,1,3,0
"101",127,"NF01","NF","6","worker","late",1,4,0,0,5,4
"102",128,"NF01","NF","35","worker","late",5,0,0,0,6,0
"103",132,"NF04","NF","74","worker","late",2,3,0,0,5,3
"104",133,"NF04","NF","61","worker","late",0,12,0,0,12,12
"105",134,"NF04","NF","44","worker","late",1,2,0,0,3,2
"106",135,"NF04","NF","40","worker","late",1,0,0,0,1,0
"107",136,"NF05","NF","46","worker","late",0,0,0,1,2,0
"108",137,"NF05","NF","83","worker","late",4,0,0,0,4,0
"109",138,"NF05","NF","45","worker","late",5,0,0,0,5,0
"110",139,"NF05","NF","23","worker","late",1,0,0,0,1,0
"111",140,"NF06","NF","95","worker","late",1,2,0,0,3,2
"112",141,"NF06","NF","8","worker","late",0,5,0,0,6,5
"113",142,"NF06","NF","61","worker","late",1,0,0,0,2,0
"114",143,"NF06","NF","76","worker","late",3,3,0,0,6,3
"115",144,"NF07","NF","13","worker","late",0,5,0,0,5,5
"116",145,"NF07","NF","26","worker","late",0,6,0,0,6,6
"117",146,"NF07","NF","70","worker","late",0,3,1,0,4,4
"118",148,"NF11","NF","7","worker","late",5,1,0,0,6,1
"119",149,"NF11","NF","20","worker","late",1,3,0,0,4,3
"120",150,"NF11","NF","33","worker","late",4,10,0,0,14,10
"121",151,"NF11","NF","16","worker","late",1,0,0,0,1,0
"122",155,"NT02","NT","93","worker","late",0,2,2,0,4,4
"123",156,"NT02","NT","92","worker","late",9,0,0,2,11,0
"124",157,"NT02","NT","5","worker","late",6,8,11,1,26,19
"125",158,"NT03","NT","98","worker","late",1,0,0,0,1,0
"126",159,"NT03","NT","34","worker","late",3,0,0,2,5,0
"127",160,"NT03","NT","33","worker","late",2,0,0,0,2,0
"128",161,"NT04","NT","25","worker","late",6,0,0,6,12,0
"129",162,"NT04","NT","70","worker","late",1,4,0,0,5,4
"130",166,"NT06","NT","13","worker","late",8,0,0,3,11,0
"131",167,"NT06","NT","67","worker","late",2,0,0,0,2,0
"132",168,"NT06","NT","38","worker","late",2,1,0,0,4,1
"133",169,"NT10","NT","7","worker","late",1,0,0,0,1,0
"134",170,"NT10","NT","18","worker","late",4,3,0,0,7,3
"135",171,"NT10","NT","45","worker","late",0,1,0,0,1,1
"136",172,"NT10","NT","6 or 9","worker","late",2,1,0,0,3,1
"137",173,"NT11","NT","61","worker","late",0,2,0,0,2,2
"138",174,"NT11","NT","71","worker","late",1,0,0,0,1,0
"139",175,"NT11","NT","35","worker","late",2,4,0,0,6,4
"140",177,"NT13","NT","99","worker","late",0,3,0,0,7,3
"141",178,"NT13","NT","27","worker","late",1,0,0,0,1,0
"142",183,"QF02","QF","56","worker","late",0,13,0,0,13,13
"143",184,"QF02","QF","75","worker","late",0,33,9,0,42,42
"144",185,"QF02","QF","48","worker","late",4,1,0,0,5,1
"145",186,"QF02","QF","26","worker","late",3,0,0,0,3,0
"146",187,"QF02","QF","13","worker","late",2,5,0,0,7,5
"147",188,"QF03","QF","11","worker","late",0,1,0,0,1,1
"148",189,"QF03","QF","76","worker","late",0,8,0,0,8,8
"149",190,"QF03","QF","84","worker","late",2,1,0,0,3,1
"150",191,"QF04","QF","72","worker","late",4,7,3,0,14,10
"151",192,"QF04","QF","96","worker","late",4,1,0,0,5,1
"152",193,"QF04","QF","60","worker","late",3,0,0,0,3,0
"153",194,"QF04","QF","81","worker","late",1,1,0,0,2,1
"154",195,"QF06","QF","12","worker","late",4,8,0,0,27,8
"155",196,"QF06","QF","6","worker","late",3,6,4,0,17,10
"156",197,"QF06","QF","35","worker","late",4,3,0,0,19,3
"157",198,"QF06","QF","80","worker","late",0,0,0,0,18,0
"158",199,"QF06","QF","47","worker","late",7,2,0,0,22,2
"159",200,"QF07","QF","72","worker","late",6,2,0,0,8,2
"160",201,"QF07","QF","60","worker","late",6,0,0,0,6,0
"161",202,"QF07","QF","36","worker","late",0,22,8,0,30,30
"162",203,"QF07","QF","23","worker","late",0,4,2,0,6,6
"163",208,"QF11","QF","9","worker","late",1,2,0,0,3,2
"164",209,"QF11","QF","17","worker","late",5,2,0,0,7,2
"165",210,"QF11","QF","65","worker","late",1,11,2,0,14,13
"166",211,"QF11","QF","42","worker","late",3,0,0,0,3,0
"167",212,"QF11","QF","52","worker","late",6,5,1,0,12,6
"168",213,"QF14","QF","87","worker","late",1,0,1,0,9,1
"169",214,"QF14","QF","75","worker","late",1,0,0,0,1,0
"170",215,"QF14","QF","23","worker","late",3,2,0,0,5,2
"171",216,"QF14","QF","91","worker","late",0,1,0,0,2,1
"172",217,"QF15","QF","37","worker","late",1,0,0,0,1,0
"173",218,"QF16","QF","95","worker","late",2,0,0,0,2,0
"174",219,"QT01","QT","92","worker","late",3,0,0,0,3,0
"175",220,"QT01","QT","34","worker","late",2,0,0,0,2,0
"176",221,"QT02","QT","11","worker","late",4,4,0,0,8,4
"177",222,"QT02","QT","51","worker","late",5,0,0,0,5,0
"178",223,"QT02","QT","29","worker","late",2,0,0,0,2,0
"179",224,"QT03","QT","2","worker","late",9,1,0,0,10,1
"180",225,"QT03","QT","67","worker","late",7,4,0,0,11,4
"181",226,"QT03","QT","39","worker","late",7,1,0,0,8,1
"182",227,"QT08","QT","57","worker","late",10,0,0,0,10,0
"183",228,"QT08","QT","22","worker","late",2,12,1,0,15,13
"184",229,"QT08","QT","19","worker","late",3,0,0,0,3,0
"185",230,"QT11","QT","80","worker","late",2,2,0,0,4,2
"186",231,"QT11","QT","71","worker","late",1,9,0,0,10,9
"187",232,"QT12","QT","77","worker","late",0,1,0,0,1,1
"188",235,"QT15","QT","57","worker","late",6,0,0,0,6,0
"189",236,"QT15","QT","66","worker","late",0,1,0,1,3,1
"190",237,"QT15","QT","24","worker","late",3,0,0,0,3,0
"191",238,"QF03","QF","59","queen","early",1,0,0,0,1,0
"192",239,"QF04","QF","54","queen","early",0,1,0,0,1,1
"193",240,"QF06","QF","66","queen","early",3,0,0,3,6,0
"194",241,"QF07","QF","57","queen","early",0,0,0,0,12,0
"195",243,"QF12","QF","35","queen","early",1,0,0,1,13,0
"196",244,"QF16","QF","62","queen","early",1,0,0,2,3,0
"197",245,"QT02","QT","85","queen","early",6,25,14,2,47,39
"198",246,"QT08","QT","78","queen","early",1,8,4,2,15,12
"199",247,"QT11","QT","95","queen","early",0,0,0,0,1,0
"200",248,"QF04","QF","54","queen","late",2,1,0,0,3,1
"201",249,"QF06","QF","66","queen","late",4,1,1,2,19,2
"202",250,"QT02","QT","85","queen","late",3,6,0,1,10,6
"203",251,"QT03","QT","8","queen","late",0,18,6,0,24,24
"204",252,"QT08","QT","78","queen","late",1,1,0,2,5,1
"205",253,"QT15","QT","81","queen","late",3,0,0,0,3,0
"206",254,"NF01","NF","9","worker","early",0,0,0,1,1,0
"207",256,"NF04","NF","40","worker","early",0,0,0,1,1,0
"208",257,"NF05","NF","83","worker","early",0,0,0,1,1,0
"209",258,"NF07","NF","4","worker","early",0,0,0,2,2,0
"210",266,"QF02","QF","12","queen","early",0,0,0,4,4,0
"211",267,"QF03","QF","unmarked","queen","early",0,0,0,4,4,0
"212",268,"QF04","QF","unmarked","queen","early",0,0,0,2,2,0
"213",270,"QF11","QF","42","worker","early",0,0,0,3,3,0
"214",271,"QF11","QF","98","queen","early",0,0,0,2,2,0
"215",272,"QF14","QF","unmarked","queen","early",0,0,0,1,1,0
"216",273,"QF15","QF","90","queen","early",0,0,0,2,2,0
"217",274,"QT01","QT","99","queen","early",0,0,0,2,2,0
"218",275,"QT03","QT","unmarked queen","queen","early",0,0,0,2,2,0
"219",277,"QT11","QT","80","queen","early",0,0,0,1,1,0
"220",278,"QT12","QT","19","queen","early",0,0,0,1,1,0
"221",283,"QT15","QT","57","queen","early",0,0,0,1,1,0
"222",286,"NF04","NF","92","worker","late",0,0,0,2,2,0
"223",288,"NT13","NT","56","worker","late",0,0,0,1,1,0
"224",289,"QF02","QF","12","queen","late",0,0,0,2,2,0
"225",290,"QF03","QF","unmarked","queen","late",0,0,0,2,2,0
"226",291,"QF04","QF","unmarked","queen","late",0,0,0,1,1,0
"227",292,"QF07","QF","57","queen","late",0,0,0,2,2,0
"228",295,"QF11","QF","98","queen","late",0,0,0,1,1,0
"229",296,"QF12","QF","35","queen","late",0,0,0,4,4,0
"230",297,"QF14","QF","unmarked","queen","late",0,0,0,2,2,0
"231",298,"QF15","QF","90","queen","late",0,0,0,1,1,0
"232",299,"QF16","QF","62","queen","late",0,0,0,1,1,0
"233",300,"QT01","QT","99","queen","late",0,0,0,1,1,0
"234",301,"QT03","QT","unmarked queen","queen","late",0,0,0,2,2,0
"235",304,"QT11","QT","95","queen","late",0,0,0,3,3,0
"236",305,"QT12","QT","93","queen","late",0,0,0,3,3,0
